41E 	-4845	-1500
41F 	-4943	-1134
41G 	-4790	-1177
41H 	-4635	-1500
42A 	-4500	-1500
42B 	-4340	-1340
42C 	-4135	-1135
42D 	-4500	-1345
42E 	-4345	-1500
42F 	-4500	-1190
42G 	-4345	-1134
42H 	-4192	-1444
43A 	-4000	-1500
43B 	-3840	-1340
43C 	-3635	-1135
43D 	-4000	-1345
43E 	-3845	-1500
43F 	-4000	-1134
43G 	-3845	-1134
43H 	-3692	-1444
44A 	-3500	-1500
44B 	-3340	-1340
44C 	-3135	-1135
44D 	-3500	-1345
44E 	-3345	-1500
44F 	-3500	-1190
44G 	-3290	-1134
44H 	-3192	-1444
45A 	-3000	-1500
45B 	-2840	-1340
45C 	-2635	-1135
45D 	-3000	-1345
45E 	-2845	-1500
45F 	-3000	-1134
45G 	-2790	-1134
45H 	-2692	-1444
46A 	-2500	-1500
46B 	-2340	-1340
46C 	-2135	-1135
46D 	-2500	-1345
46E 	-2345	-1500
46F 	-2443	-1134
46G 	-2290	-1134
46H 	-2192	-1444
47A 	-2000	-1500
47B 	-1840	-1340
47C 	-1635	-1135
47D 	-2000	-1345
47E 	-1845	-1500
47F 	-2000	-1134
47G 	-1790	-1177
47H 	-1692	-1444
48A 	-1500	-1500
48B 	-1340	-1340
48C 	-1135	-1135
48D 	-1500	-1345
48E 	-1345	-1500
48F 	-1443	-1134
48G 	-1290	-1177
48H 	-1192	-1444
49A 	-1000	-1500
49B 	-840	-1340
49C 	-635	-1135
49D 	-1000	-1345
49E 	-845	-1500
49F 	-1000	-1190
49G 	-845	-1134
49H 	-635	-1444
50A 	-500	-1500
50B 	-340	-1340
50C 	-135	-1135
50D 	-500	-1345
50E 	-345	-1500
50F 	-500	-1134
50G 	-345	-1134
50H 	-135	-1444
51A 	-5000	-1000
51B 	-4840	-840
51C 	-4635	-635
51D 	-5000	-845
51E 	-4845	-1000
51F 	-5000	-690
51G 	-4790	-634
51H 	-4635	-944
52A 	-4500	-1000
52B 	-4340	-840
52C 	-4135	-635
52D 	-4500	-845
52E 	-4345	-1000
52F 	-4500	-634
52G 	-4290	-634
52H 	-4135	-944
53A 	-4000	-1000
53B 	-3840	-840
